Clasificador,Tipo_Fold,Accuracy,Precision,Recall,Specificity,Fscore,AUROC,tn,fp,fn,tp
AdaBoost,groupkfold,0.7666666666666667,0.834920634920635,0.9104072398190045,0.27999999999999997,0.8598585034625079,0.5968426344896933,0.6,2.8,1.4,13.2
AdaBoost,kfold,0.7666666666666667,0.831647274294333,0.8876190476190476,0.21666666666666665,0.8570400626852239,0.5788888888888889,0.8,2.6,1.6,13.0
AdaBoost,stratifiedgroupkfold,0.7666666666666667,0.8094281045751635,0.9323809523809524,0.05,0.8651515151515152,0.5086507936507937,0.2,3.2,1.0,13.6
AdaBoost,stratifiedkfold,0.7666666666666667,0.8359207785678373,0.8933333333333333,0.25,0.8589504211028126,0.6803174603174604,0.8,2.6,1.6,13.0
KNN,groupkfold,0.7666666666666667,0.8015522875816993,0.944132730015083,0.0,0.8645195493507343,0.0,0.0,3.4,0.8,13.8
KNN,kfold,0.7777777777777778,0.8043300653594772,0.959047619047619,0.0,0.8741202346041057,0.0,0.0,3.4,0.6,14.0
KNN,stratifiedgroupkfold,0.8,0.8091503267973856,0.9866666666666667,0.0,0.8886363636363637,0.0,0.0,3.4,0.2,14.4
KNN,stratifiedkfold,0.8,0.8168300653594771,0.9723809523809525,0.06666666666666667,0.8870234604105572,0.0,0.2,3.2,0.4,14.2
SVC,groupkfold,0.8111111111111111,0.8111111111111111,1.0,0.0,0.8934059488898198,0.46495726495726497,0.0,3.4,0.0,14.6
SVC,kfold,0.8111111111111111,0.8111111111111111,1.0,0.0,0.8954545454545455,0.4790476190476191,0.0,3.4,0.0,14.6
SVC,stratifiedgroupkfold,0.8111111111111111,0.8111111111111111,1.0,0.0,0.8954545454545455,0.48515873015873023,0.0,3.4,0.0,14.6
SVC,stratifiedkfold,0.8111111111111111,0.8111111111111111,1.0,0.0,0.8954545454545455,0.5494444444444444,0.0,3.4,0.0,14.6
